2018-04-26 15:21:51,860 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-wtp does not contain lifecycle mapping metadata
2018-04-26 15:21:51,871 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6859794556618863839.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_879154263866854647.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-egit.xml
2018-04-26 15:21:51,873 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2018-04-26 15:21:51,883 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6859794556618863839.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_879154263866854647.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive.xml
2018-04-26 15:21:51,885 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2018-04-26 15:21:51,901 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6859794556618863839.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_879154263866854647.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse.xml
2018-04-26 15:21:51,904 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2018-04-26 15:28:35,214 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6566055380990237657.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_438869590119730010.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-wtp.xml
2018-04-26 15:28:35,216 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-wtp does not contain lifecycle mapping metadata
2018-04-26 15:28:35,233 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6566055380990237657.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_438869590119730010.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-egit.xml
